#NN       n_eval  t_total             throughput
1024      116     0.6066082790493965  195816.6482431529
4096      122     0.6813403442502022  733424.9383836508
16384     122     0.6306420117616653  3169544.627095685
65536     122     1.2610415294766426  6340308.239743894
262144    134     0.7131178826093674  49258750.70116854
1048576   134     1.446023404598236   97169370.5324494
4194304   134     3.053857773542404   184041555.8541387
16777216  134     11.013365633785725  204128966.45357484
67108864  134     42.262151911854744  212781114.28768808
