#NN       n_eval  t_total              throughput
1024      116     0.20174431055784225  588784.881573864
4096      122     0.20630241185426712  2422230.5280318228
16384     122     0.24891745299100876  8030164.120601865
65536     122     0.24169039726257324  33081132.269039966
262144    134     0.2919803112745285   120307070.86606357
1048576   134     0.8060227185487747   174324098.7710415
4194304   134     3.0869482457637787   182068726.53964427
16777216  134     12.640251077711582   177856193.69255513
67108864  134     51.13134190440178    175872320.98881897
